timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
200957021,200956730,-0.45813394,0.01167333,-0.01300336,0.8887115,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200962036,200961729,-0.45812395,0.01166182,-0.013009354,0.8887166,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200967023,200966730,-0.45810467,0.01166681,-0.0130158635,0.8887265,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200972083,200971729,-0.45810702,0.011669852,-0.01302682,0.88872504,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200977023,200976730,-0.4581109,0.011671687,-0.013013925,0.8887232,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200982017,200981729,-0.45811647,0.011674368,-0.0130282855,0.8887201,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200987023,200986730,-0.45812055,0.011665297,-0.013031712,0.88871807,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200992068,200991731,-0.45813364,0.011674157,-0.013017289,0.8887114,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
200997031,200996731,-0.4581354,0.011662137,-0.013011612,0.88871074,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201002028,201001730,-0.45813704,0.011657849,-0.013020189,0.8887097,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201007017,201006729,-0.45814377,0.01166619,-0.013020497,0.88870627,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201012020,201011729,-0.4581466,0.011679004,-0.0130332215,0.8887044,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201017072,201016769,-0.4581489,0.011681959,-0.013037229,0.88870317,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201022030,201021729,-0.45815194,0.011677098,-0.013039534,0.8887015,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201027006,201026729,-0.4581507,0.011679817,-0.0130384285,0.8887022,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201032027,201031739,-0.45814943,0.011678098,-0.01303547,0.8887029,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201036957,201036730,-0.45814073,0.011672029,-0.01302017,0.88870776,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201042023,201041729,-0.45812815,0.011675505,-0.013006528,0.8887144,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201047014,201046729,-0.4581143,0.011674984,-0.013009709,0.8887214,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201052022,201051730,-0.45811152,0.011673757,-0.013014696,0.8887228,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201057012,201056729,-0.45811504,0.011687445,-0.013019166,0.88872075,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201062011,201061729,-0.45812207,0.011689805,-0.013018512,0.8887171,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201067029,201066729,-0.45813692,0.011694816,-0.0130371,0.8887091,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201072013,201071729,-0.45814833,0.011684662,-0.013033292,0.8887034,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201076999,201076731,-0.4581585,0.011683267,-0.0130277695,0.8886983,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201081985,201081729,-0.45816675,0.01167947,-0.013015387,0.8886943,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201086991,201086729,-0.45816702,0.011678146,-0.013016075,0.88869417,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201092003,201091729,-0.45815843,0.0116800405,-0.013023088,0.8886984,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201097013,201096729,-0.4581524,0.011683533,-0.013024865,0.88870144,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201101985,201101729,-0.45815304,0.011694143,-0.013025792,0.88870096,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201107007,201106729,-0.4581526,0.011691741,-0.013027595,0.88870126,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201112002,201111729,-0.4581558,0.011690643,-0.013036811,0.8886995,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
201117014,201116729,-0.4581543,0.011672574,-0.01302405,0.88870066,0.9999934,-6.8016615e-10,1.4617427e-09,0.0036482369,2
