timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
223936189,223745671,3407882,-0.0032827132,-0.0012798108,-0.00063233305,0.15,1.9384544e-07,1.919492e-07,5.495362e-07,3407882,-0.034346,-0.016707126,0.02367438,0.4,0.0017952234,0.0018870274,1.4643185e-05,466953,-0.0072017387,0.0009497842,-0.018846016,0.5,0.0004914459,0.00076956983,0.00063506624,1,1,1,0,1,1
224236183,224045671,3407882,-0.0032880513,-0.0012723091,-0.0006289857,0.15,1.9382584e-07,1.9187075e-07,5.5200434e-07,3407882,-0.035310224,-0.017022526,0.023559637,0.4,0.0017931481,0.0018867489,1.4644393e-05,466953,-0.0072100325,0.0009993138,-0.018882629,0.5,0.0004883997,0.00076406245,0.0006316831,1,1,1,0,1,1
224636168,224445671,3407882,-0.0032769907,-0.0012747536,-0.0006292115,0.15,1.9377255e-07,1.9174256e-07,5.5508605e-07,3407882,-0.03670087,-0.017440662,0.023398688,0.4,0.0017906249,0.0018863637,1.4645108e-05,466953,-0.007181626,0.0010475708,-0.01891533,0.5,0.00048662972,0.0007616958,0.0006296492,1,1,1,0,1,1
225036215,224845671,3407882,-0.0032895692,-0.0012826517,-0.0006267137,0.15,1.9384797e-07,1.9176883e-07,5.582029e-07,3407882,-0.037844148,-0.017728882,0.023237735,0.4,0.0017882456,0.0018858264,1.4645375e-05,466953,-0.0072030784,0.000986418,-0.018935248,0.5,0.00048587087,0.00076117227,0.00062854856,1,1,1,0,1,1
225336165,225145671,3407882,-0.0032805915,-0.0012632352,-0.00062403455,0.15,1.9364931e-07,1.9156226e-07,5.6034287e-07,3407882,-0.03888322,-0.018346675,0.02309524,0.4,0.0017863953,0.0018851098,1.4643812e-05,466953,-0.007166429,0.0010384426,-0.018997708,0.5,0.00048518268,0.0007598953,0.00062808424,1,1,1,0,1,1
225736186,225545671,3407882,-0.0032790264,-0.0012690405,-0.000622803,0.15,1.9343693e-07,1.9140737e-07,5.634922e-07,3407882,-0.040040944,-0.018765915,0.022924298,0.4,0.0017840061,0.0018840091,1.4640584e-05,466953,-0.007136594,0.0009772235,-0.018984355,0.5,0.00048496135,0.0007593635,0.0006277129,1,1,1,0,1,1
226146192,225955671,3407882,-0.003273252,-0.001267544,-0.00062243897,0.15,1.9322668e-07,1.9132136e-07,5.666309e-07,3407882,-0.041149873,-0.019318685,0.022748422,0.4,0.0017818284,0.0018828395,1.4636688e-05,466953,-0.0071047703,0.0010163384,-0.018996391,0.5,0.00048474435,0.0007584281,0.0006270446,1,1,1,0,1,1
226636171,226445671,3407882,-0.0032739209,-0.0012808125,-0.0006189376,0.15,1.9282136e-07,1.9106429e-07,5.7041433e-07,3407882,-0.042104553,-0.019810446,0.022562627,0.4,0.0017794871,0.0018812456,1.4628213e-05,466953,-0.0070813596,0.0010173769,-0.01893843,0.5,0.00048370167,0.0007563577,0.00062482845,1,1,1,0,1,1
227336403,227145671,3407882,-0.003267455,-0.0013278303,-0.00061925984,0.15,1.9239968e-07,1.9092339e-07,5.756222e-07,3407882,-0.04315365,-0.020158025,0.022351585,0.4,0.0017768457,0.0018789257,1.4612518e-05,466953,-0.0068963724,0.0009818046,-0.018627554,0.5,0.00048241785,0.0007494907,0.00061909587,1,1,1,0,1,1
227736193,227545671,3407882,-0.0032535421,-0.0013318219,-0.00061715284,0.15,1.9216144e-07,1.9084129e-07,5.785376e-07,3407882,-0.04391412,-0.020807326,0.022199446,0.4,0.0017754848,0.001877275,1.4600732e-05,466953,-0.0068624136,0.0010016039,-0.018697951,0.5,0.0004819885,0.00074634363,0.00061719166,1,1,1,0,1,1
228036213,227845671,3407882,-0.003239238,-0.0013189396,-0.000614841,0.15,1.9195024e-07,1.9074005e-07,5.806162e-07,3407882,-0.04452884,-0.021639321,0.02206959,0.4,0.0017743944,0.001875672,1.4589739e-05,466953,-0.006826088,0.0009976074,-0.018758755,0.5,0.0004811119,0.0007429865,0.00061556837,1,1,1,0,1,1
228736198,228545671,3407882,-0.0032215684,-0.001330595,-0.00060766947,0.15,1.9155124e-07,1.9057444e-07,5.851847e-07,3407882,-0.045885425,-0.023158718,0.02175578,0.4,0.0017720583,0.0018718347,1.4562284e-05,466953,-0.0067465277,0.001258536,-0.018480005,0.5,0.00047920845,0.0007285759,0.00060730975,1,1,1,0,1,1
229146166,228955671,3407882,-0.0032094931,-0.0013205361,-0.00060612825,0.15,1.9146276e-07,1.9061608e-07,5.8782933e-07,3407882,-0.046493564,-0.024047801,0.021593958,0.4,0.0017712364,0.0018702407,1.4548154e-05,466953,-0.0066005206,0.0012793328,-0.018505407,0.5,0.00047695404,0.00072433613,0.00060651335,1,1,1,0,1,1
229636181,229445671,3407882,-0.0032005783,-0.0013236022,-0.0006037416,0.15,1.9124147e-07,1.9045693e-07,5.9108345e-07,3407882,-0.04716869,-0.025121681,0.02139554,0.4,0.0017703961,0.0018680926,1.4527229e-05,466953,-0.006520077,0.0013151002,-0.018463152,0.5,0.0004758207,0.0007229556,0.0006048425,1,1,1,0,1,1
230036239,229845671,3407882,-0.0031890909,-0.0013172191,-0.00060318003,0.15,1.9119322e-07,1.9042582e-07,5.939e-07,3407882,-0.047667954,-0.026010424,0.021241698,0.4,0.0017698052,0.0018663445,1.450976e-05,466953,-0.0064153713,0.0013169172,-0.01847784,0.5,0.00047442463,0.0007210242,0.00060347625,1,1,1,0,1,1
