timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
281161820,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
281361810,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
281561777,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
281761701,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
281961696,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
282161635,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
282361638,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
282561606,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
282761559,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
282961504,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
283161488,-5.632427,-12.903974,-18.684927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18392254,0.0
283561441,-5.4174705,-12.829242,-18.670841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
283761395,-5.310318,-12.883263,-18.670364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
283961347,-5.203166,-12.937283,-18.669886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
284161307,-5.0960135,-12.9913025,-18.669407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
284361307,-4.9888616,-13.045322,-18.668928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
284561268,-4.881709,-13.099343,-18.668451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9528745,0.0
