timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
332066961,3407898,3407898,3407890,3407882,0,0.03520183,0.10210198,0.13397238,0.0,3407898,3407898,3407890,3407882,0,0.0032742193,0.0031586324,0.0018815201,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
332266956,3407898,3407898,3407890,3407882,0,0.045905102,0.10462976,0.13625652,0.0,3407898,3407898,3407890,3407882,0,0.0017741561,0.0011794787,0.0016559558,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
332466964,3407898,3407898,3407890,3407882,0,0.0967476,0.07802216,0.052165184,0.0,3407898,3407898,3407890,3407882,0,0.0023917395,0.00095872214,0.0022637043,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
332666954,3407898,3407898,3407890,3407882,0,0.08676584,0.086396895,0.07290052,0.0,3407898,3407898,3407890,3407882,0,0.0038041077,0.0035382735,0.0010815791,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
332866957,3407898,3407898,3407890,3407882,0,0.098139666,0.09915292,0.17463893,0.0,3407898,3407898,3407890,3407882,0,0.0013922758,0.0018313807,0.002067586,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
333066961,3407898,3407898,3407890,3407882,0,0.06383265,0.11546768,0.07514197,0.0,3407898,3407898,3407890,3407882,0,0.0030174165,0.002796742,0.0022141195,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
333266946,3407898,3407898,3407890,3407882,0,0.08824661,0.0700142,0.042238902,0.0,3407898,3407898,3407890,3407882,0,0.006884273,0.006337737,0.0027688665,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
333466938,3407898,3407898,3407890,3407882,0,0.08732765,0.033903874,0.08557881,0.0,3407898,3407898,3407890,3407882,0,0.0023563295,0.0038181213,0.0024246813,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
333666957,3407898,3407898,3407890,3407882,0,0.08354289,0.102763064,0.050425746,0.0,3407898,3407898,3407890,3407882,0,0.0015279505,0.0010541624,0.0014993001,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
333866961,3407898,3407898,3407890,3407882,0,0.07907602,0.06031764,0.10567002,0.0,3407898,3407898,3407890,3407882,0,0.0015322205,0.0010473221,0.0018458125,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
