timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality
251554742,251554722,-1,-42.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,2000,0,0,16,0,0,14,96
252054545,252054523,-1,-49.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,2000,0,0,16,0,0,14,94
252554692,252554670,-1,-47.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1900,1984,0,0,16,0,0,14,91
253054468,253054436,-1,-51.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1879,1902,0,0,16,0,0,14,90
253554516,253554474,-1,-48.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1889,2000,0,0,16,0,0,14,87
254054420,254054399,-1,-50.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1879,2000,0,0,16,0,0,14,88
254512411,254512391,-1,-49.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1900,2000,0,0,16,0,0,14,90
255054429,255054409,-1,-39.0,0,0,0,1499,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1850,2000,0,0,16,0,0,14,83
255534688,255534668,-1,-37.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1839,2000,0,0,16,0,0,14,84
256054716,256054696,-1,-39.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1860,2000,0,0,16,0,0,14,86
256554420,256554400,-1,-37.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1870,2000,0,0,16,0,0,14,86
257554423,257554402,-1,-40.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1959,2000,0,0,16,0,0,14,96
258054551,258054530,-1,-50.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,2000,0,0,16,0,0,14,94
258552424,258552386,-1,-46.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1949,2000,0,0,16,0,0,14,95
259053169,259053135,-1,-48.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1929,2000,0,0,16,0,0,14,93
259554456,259554315,-1,-49.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1920,2000,0,0,16,0,0,14,92
260063209,260054370,-1,-51.0,0,0,0,1499,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1920,1984,0,0,16,0,0,14,92
260564060,260554282,-1,-50.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1910,2000,0,0,16,0,0,14,91
261054414,261054303,-1,-49.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1900,1920,0,0,16,0,0,14,91
261554397,261554282,-1,-50.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1889,1920,0,0,16,0,0,14,90
262054395,262054375,-1,-53.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1900,1967,0,0,16,0,0,14,90
262554413,262554391,-1,-52.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1920,1951,0,0,16,0,0,14,92
263034415,263034305,-1,-53.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,1951,0,0,16,0,0,14,94
263554403,263554293,-1,-52.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1959,1951,0,0,16,0,0,14,95
264054288,264054268,-1,-52.0,0,0,0,1499,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1990,1967,0,0,16,0,0,14,99
264554375,264554282,-1,-54.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1990,1935,0,0,16,0,0,14,99
265054411,265054389,-1,-54.0,0,0,0,1500,1500,1655,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1969,1920,0,0,16,0,0,14,97
265554288,265554268,-1,-54.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1980,1920,0,0,16,0,0,14,98
266054377,266054284,-1,-50.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1929,2000,0,0,16,0,0,14,93
266554143,266554123,-1,-47.0,0,0,0,1499,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1920,2000,0,0,16,0,0,14,92
267054288,267054267,-1,-47.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,2000,0,0,16,0,0,14,94
267554394,267554282,-1,-47.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,2000,0,0,16,0,0,14,94
268054374,268054282,-1,-47.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1969,2000,0,0,16,0,0,14,97
268551277,268551255,-1,-47.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1980,2000,0,0,16,0,0,14,98
269052447,269034159,-1,-47.0,0,0,0,1499,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1980,2000,0,0,16,0,0,14,98
269554141,269554120,-1,-50.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,2000,0,0,16,0,0,14,94
270058401,270054118,-1,-69.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1949,1694,0,0,16,0,0,14,95
270562856,270554116,-1,-57.0,0,0,0,1499,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,1967,0,0,16,0,0,14,94
271054051,271054030,-1,-49.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1900,2000,0,0,16,0,0,14,90
272054083,272054063,-1,-56.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1920,1887,0,0,16,0,0,14,93
272554114,272554095,-1,-56.0,0,0,0,1499,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1910,1920,0,0,16,0,0,14,91
273054061,273054040,-1,-57.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,1823,0,0,16,0,0,14,94
274054393,274054282,-1,-56.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,1790,0,0,16,0,0,14,94
274553991,274553970,-1,-63.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1959,1887,0,0,16,0,0,14,96
275053987,275053966,-1,-52.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1949,1967,0,0,16,0,0,14,95
275554070,275554049,-1,-50.0,0,0,0,1499,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1929,2000,0,0,16,0,0,14,93
276034289,276034251,-1,-54.0,0,0,0,1499,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1940,1935,0,0,16,0,0,14,94
276554040,276554020,-1,-62.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1839,1984,0,0,16,0,0,14,84
277030665,277013967,-1,-40.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1839,2000,0,0,16,0,0,14,84
277553988,277553967,-1,-33.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1790,2000,0,0,16,0,0,14,79
278053986,278053966,-1,-36.0,0,0,0,1499,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1810,2000,0,0,16,0,0,14,81
278554019,278553997,-1,-37.0,0,0,0,1499,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1910,2000,0,0,16,0,0,14,91
279050645,279050534,-1,-50.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1929,2000,0,0,16,0,0,14,93
279553993,279553969,-1,-50.0,0,0,0,1499,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1990,2000,0,0,16,0,0,14,99
280565657,280553963,-1,-48.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1969,2000,0,0,16,0,0,14,97
281053992,281053970,-1,-48.0,0,0,0,1500,1500,1656,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1959,2000,0,0,16,0,0,14,95
281554060,281554041,-1,-47.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1949,2000,0,0,16,0,0,14,95
282054029,282054008,-1,-48.0,0,0,0,1500,1500,1657,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1949,2000,0,0,16,0,0,14,95
282534608,282534587,-1,-48.0,0,0,0,1500,1500,1656,1500,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1969,2000,0,0,16,0,0,14,97
283054001,283053967,-1,-48.0,0,0,0,1500,1500,1657,1499,1988,1000,1000,1000,1999,1000,1499,1500,1500,1000,1969,2000,0,0,16,0,0,14,97
